站号       经度         纬度         省份    城市                    站点                        系统编号
140200089  113.2803     40.1114      山西    大同市                  供排水公司(启用160601)      2923A
140300051  113.5753     37.8564      山西    阳泉市                  市中心                      1738A
140300052  113.4922     37.8792      山西    阳泉市                  赛鱼                        1739A
140300053  113.5922     37.8561      山西    阳泉市                  南庄                        1740A
140300054  113.6292     37.8531      山西    阳泉市                  白羊墅                      1741A
140300055  113.5689     37.8694      山西    阳泉市                  平坦                        1742A
140300057  113.5158     37.85        山西    阳泉市                  大阳泉                      1743A
140400051  113.1097     36.1542      山西    长治市                  清华站                      1727A
140400052  113.0972     36.1939      山西    长治市                  监测站                      1728A
140400055  113.0886     36.2126      山西    长治市                  审计局                      1730A
140400056  113.0844444  36.1855      山西    长治市                  长治八中                    1731A
140400057  113.1569     36.1912      山西    长治市                  德盛苑                      2845A
140500050  112.8453     35.546       山西    晋城市                  白马寺(对照点)              2165A
140500051  112.85       35.5051      山西    晋城市                  自来水公司                  2160A
140500052  112.835      35.4934      山西    晋城市                  白云商贸                    2161A
140500053  112.8564     35.4883      山西    晋城市                  市环保局                    2162A
140500054  112.8664     35.4894      山西    晋城市                  技术学院                    2163A
140500055  112.8252     35.4813      山西    晋城市                  泽州一中                    2164A
140600052  112.44       39.3514      山西    朔州市                  平朔                        2166A
140600053  112.4549     39.3606      山西    朔州市                  朔唯                        2167A
140600054  112.4254     39.3179      山西    朔州市                  区政府                      2168A
140600055  112.4078     39.3265      山西    朔州市                  市环保局                    2169A
140600056  112.4279     39.3673      山西    朔州市                  市二中                      2170A
140700051  112.7549     37.7019      山西    晋中市                  锦纶小区                    2171A
140700053  112.7306     37.7111      山西    晋中市                  南都小区                    2173A
140700054  112.7105     37.7087      山西    晋中市                  榆次区政府                  2174A
140700055  112.7194444  37.68277778  山西    晋中市                  榆次三中                    2865A
140800091  110.9956     35.0147      山西    运城市                  运城中学                    2175A
140800092  111.0233     35.0611      山西    运城市                  禹都开发区                  2176A
140800095  110.9678     35.0308      山西    运城市                  地区技校                    2178A
140800096  111.0414     35.1147      山西    运城市                  空港新区                    2179A
140800097  111.0522222  35.04388889  山西    运城市                  外滩首府                    2866A
140900103  112.7356     38.4186      山西    忻州市                  机引                        2180A
140900104  112.7383     38.4519      山西    忻州市                  开发区                      2181A
140900106  112.7003     38.4928      山西    忻州市                  会展中心                    2182A
141000069  111.5531     36.0783      山西    临汾市                  临钢医院                    1733A
141000071  111.5028     36.0714      山西    临汾市                  技工学校                    1734A
141000072  111.5169     36.0822      山西    临汾市                  工商学校                    1735A
141000073  111.5025     36.0875      山西    临汾市                  市委                        1736A
141000074  111.4917     36.0417      山西    临汾市                  南机场                      1737A
141000075  111.505      36.10139     山西    临汾市                  唐尧大酒店(启用161122)      3018A
141100051  111.1406     37.5211      山西    吕梁市                  环保局                      2183A
141100053  111.1297     37.5136      山西    吕梁市                  自来水公司                  2185A
141100054  111.1283333  37.51        山西    吕梁市                  马茂庄小学                  2867A
150100051  111.658      40.8033      内蒙古  呼和浩特市              小召                        1091A
150100052  111.659      40.8452      内蒙古  呼和浩特市              兴松小区                    1092A
150100053  111.608      40.8144      内蒙古  呼和浩特市              糖厂                        1093A
150100054  111.751      40.8369      内蒙古  呼和浩特市              如意水处理厂                1094A
150100055  111.7277     40.8062      内蒙古  呼和浩特市              二十九中                    1095A
150100056  111.651      40.7579      内蒙古  呼和浩特市              呼市一监                    1090A
150100057  111.551      40.7866      内蒙古  呼和浩特市              工大金川校区                1096A
150100058  111.717      40.7612      内蒙古  呼和浩特市              化肥厂生活区                1097A
150200082  109.8756     40.6532      内蒙古  包头市                  市环境监测站                1585A
150200083  109.8104     40.6575      内蒙古  包头市                  包百大楼                    1586A
150200084  110.0067     40.5905      内蒙古  包头市                  东河城环局                  1587A
150200085  109.8538     40.6821      内蒙古  包头市                  青山宾馆                    1588A
150200086  109.8654     40.6288      内蒙古  包头市                  惠龙物流                    1589A
150200087  110.0377     40.5546      内蒙古  包头市                  东河鸿龙湾                  1590A
150300461  106.8219     39.6719      内蒙古  乌海市                  聚英学校                    2186A
150300462  106.8089     39.6969      内蒙古  乌海市                  市林业局                    2187A
150300463  106.7907     39.6667      内蒙古  乌海市                  中海勃湾学校                2188A
150400441  118.9233     42.2814      内蒙古  赤峰市                  松山一中                    1744A
150400442  118.9572     42.2725      内蒙古  赤峰市                  哈达街                      1745A
150400446  118.8789     42.2556      内蒙古  赤峰市                  天义路                      1746A
150400448  119.2654     42.0352      内蒙古  赤峰市                  银河街(启用170524)          3058A
150500806  122.2603     43.6267      内蒙古  通辽市                  通辽宾馆                    2189A
150500807  122.3039     43.6156      内蒙古  通辽市                  胶建铝业                    2190A
150500808  122.2532     43.6801      内蒙古  通辽市                  艺术职业学校                2191A
150600551  110.0023     39.8129      内蒙古  鄂尔多斯市              综合楼                      1591A
150600554  109.9486     39.8261      内蒙古  鄂尔多斯市              巴音孟克林场办事处          1592A
150600555  109.7736     39.5986      内蒙古  鄂尔多斯市              康泽苑                      1593A
150600556  109.8119     39.5989      内蒙古  鄂尔多斯市              华泰汽车城                  1594A
150600557  109.9734     39.7884      内蒙古  鄂尔多斯市              奥林花园                    1595A
150700131  119.7594     49.2261      内蒙古  呼伦贝尔市              区环保局                    2192A
150700133  119.7512     49.1577      内蒙古  呼伦贝尔市              国华电力东(启用170601)      3061A
150800011  107.5936     40.916       内蒙古  巴彦淖尔市              秋林养殖基地(对照点)        2194A
150800566  107.4211     40.7608      内蒙古  巴彦淖尔市              附中                        2195A
